arm,fold,n_trials,best_is_objective,is_alpha,is_mdd,oos_strat_ann,oos_dca_ann,oos_alpha,oos_mdd,oos_sharpe,oos_skew,oos_kurt,oos_bars,dsr,params
A,fold1,500,0.0539,0.0539,0.5639,-0.0789,-0.2456,0.1668,0.3859,-0.000606,-0.0619,7.1222,8754,0.289817,"{""a1"": -0.9053973097493173, ""a2"": 0.5491848971889844, ""a3"": -0.0335065735208544, ""ema_l"": 205, ""mav_l"": 178, ""mav_s"": 43, ""wedge"": 0.19950280138126597}"
A,fold2,500,0.1673,0.1673,0.5473,0.0231,0.2577,-0.2346,0.2668,0.002345,0.0802,17.6871,8759,0.390535,"{""a1"": -0.32242475440411333, ""a2"": 0.19058966255773946, ""a3"": -0.0814977218659547, ""ema_l"": 203, ""mav_l"": 122, ""mav_s"": 30, ""wedge"": 0.165673666392404}"
A,fold3,500,0.1838,0.1838,0.5418,0.6794,0.7773,-0.0979,0.1335,0.023066,-0.1891,13.2397,8784,0.951397,"{""a1"": -0.529239415268973, ""a2"": 0.17682603836179714, ""a3"": -0.06631540289509438, ""ema_l"": 121, ""mav_l"": 143, ""mav_s"": 26, ""wedge"": 0.15742229573633923}"
A,fold4,500,0.1247,0.1247,0.5416,0.2726,0.3505,-0.0779,0.1908,0.010777,-0.0861,9.8025,8760,0.695296,"{""a1"": -0.6597608773884619, ""a2"": 0.5735280313996187, ""a3"": -0.14514579376540582, ""ema_l"": 202, ""mav_l"": 63, ""mav_s"": 40, ""wedge"": 0.1681919523019644}"
A,fold5,500,0.0846,0.0846,0.5481,-0.1459,-0.1848,0.039,0.2723,-0.007778,-0.2079,7.1935,8016,0.120395,"{""a1"": -0.23793077136025909, ""a2"": 0.07445660744204757, ""a3"": -0.08265573924906068, ""ema_l"": 142, ""mav_l"": 210, ""mav_s"": 34, ""wedge"": 0.16457225588233274}"
B,fold1,500,0.3403,0.3403,0.4464,-0.1759,-0.2456,0.0697,0.403,-0.004368,-0.2369,15.9802,8754,0.084167,"{""a3"": 0.38605797046789675, ""mav_l"": 69, ""mav_s"": 26, ""sig_std"": 1.9757607130078003, ""w0"": 0.6691776808036959, ""w1"": -0.888303728315668, ""w2"": 0.5606241388496087, ""w3"": -0.6255331281634031, ""w4"": -0.37504240209172385, ""w5"": -0.9227371325020328, ""wedge"": 0.13885328491209378}"
B,fold2,500,0.404,0.404,0.4082,-0.0093,0.2577,-0.267,0.2764,0.001161,-0.1957,28.3083,8759,0.194955,"{""a3"": -0.1675590601201546, ""mav_l"": 206, ""mav_s"": 32, ""sig_std"": 1.492160044801208, ""w0"": 0.6423239497355877, ""w1"": -0.5797657784286963, ""w2"": -0.8525267780976885, ""w3"": -0.15536470679735254, ""w4"": -0.5737128593453144, ""w5"": -0.5779680377139217, ""wedge"": 0.18023619569670904}"
B,fold3,500,0.3731,0.3731,0.5155,0.7117,0.7773,-0.0656,0.1785,0.022126,-0.0797,18.2893,8784,0.864656,"{""a3"": -0.8851616552152715, ""mav_l"": 185, ""mav_s"": 32, ""sig_std"": 1.671853143402599, ""w0"": 0.6361052093542747, ""w1"": -0.7906770466087811, ""w2"": -0.9998803351406855, ""w3"": 0.48398043662859386, ""w4"": -0.6491654291963375, ""w5"": -0.8180097279011626, ""wedge"": 0.18244873420927077}"
B,fold4,500,0.267,0.267,0.5341,0.0814,0.3505,-0.2691,0.2536,0.004536,-0.2484,13.7594,8760,0.29331,"{""a3"": -0.47307214079096027, ""mav_l"": 120, ""mav_s"": 23, ""sig_std"": 1.411852707010709, ""w0"": 0.2276458012318075, ""w1"": 0.14004330860623626, ""w2"": -0.632863954286181, ""w3"": 0.10928498887888384, ""w4"": -0.08776587972270042, ""w5"": -0.5119340074136212, ""wedge"": 0.19450683493440057}"
B,fold5,500,0.2227,0.2227,0.5203,-0.1815,-0.1848,0.0034,0.2865,-0.009974,-0.1715,9.1624,8016,0.034317,"{""a3"": -0.6207605966128538, ""mav_l"": 201, ""mav_s"": 22, ""sig_std"": 1.2441974144724115, ""w0"": 0.5718508183752706, ""w1"": -0.7308115661002978, ""w2"": -0.9025188740906488, ""w3"": 0.293166969709678, ""w4"": 0.4281217779150343, ""w5"": -0.9654249189350984, ""wedge"": 0.198851508691879}"
C,fold1,500,0.1528,0.1528,0.5601,-0.0089,-0.2456,0.2367,0.3569,0.001515,0.2996,14.313,8754,0.270103,"{""a3"": -0.8802270488210721, ""mav_l"": 231, ""mav_s"": 49, ""sig_std"": 1.9930833623757755, ""w_all"": -0.6684275571308076, ""wedge"": 0.1827236011970926}"
C,fold2,500,0.2488,0.2488,0.5362,0.0528,0.2577,-0.2049,0.2396,0.003441,-0.2146,34.1667,8759,0.332829,"{""a3"": 0.8043651631099678, ""mav_l"": 80, ""mav_s"": 30, ""sig_std"": 1.999650456282152, ""w_all"": -0.8730028808033232, ""wedge"": 0.17953487612566915}"
C,fold3,500,0.2567,0.2567,0.5557,0.6274,0.7773,-0.1499,0.1835,0.020177,0.1504,25.3509,8784,0.871981,"{""a3"": -0.9091889278343135, ""mav_l"": 120, ""mav_s"": 28, ""sig_std"": 1.997002162665067, ""w_all"": -0.5849907622927001, ""wedge"": 0.1808868388026984}"
C,fold4,500,0.1792,0.1792,0.5278,0.1785,0.3505,-0.1721,0.2574,0.007837,-0.4907,15.6689,8760,0.491679,"{""a3"": -0.726232596839369, ""mav_l"": 86, ""mav_s"": 33, ""sig_std"": 1.8545319550775434, ""w_all"": -0.20338990971276202, ""wedge"": 0.19910323542745823}"
C,fold5,500,0.089,0.089,0.5441,-0.1239,-0.1848,0.061,0.283,-0.005228,-0.1257,8.3544,8016,0.11702,"{""a3"": -0.15685604029873612, ""mav_l"": 236, ""mav_s"": 24, ""sig_std"": 0.10607571341293888, ""w_all"": 0.47372721754830943, ""wedge"": 0.18388326786131345}"
